,biomass,gas,hydro,nuclear,other_fossil,solar,wind_offshore,wind_onshore,FR -> BE,NL -> BE,demand,BE -> FR,BE -> NL,mismatch
7875,311.93,3269.4,9.65,1997.39,917.42,0.0,120.39,48.1,678.02,1546.38,8898.68,0.0,0.0,0.0
7876,374.79,3194.28,8.79,1997.23,922.72,0.0,143.87,43.13,565.98,1701.73,8952.52,0.0,0.0,0.0
7877,376.67,3206.38,6.74,1996.69,922.17,0.0,199.96,37.8,163.64,2014.46,8924.51,0.0,0.0,0.0
7878,371.41,3611.25,4.45,1995.44,944.44,0.0,247.47,54.71,32.59,1576.9,8838.66,0.0,0.0,0.0
7879,377.07,3968.66,4.06,1995.36,962.97,6.53,268.91,108.97,35.7,1482.12,9210.350000000002,0.0,0.0,-1.8189894035458565e-12
7880,373.43,4288.35,55.75,1997.76,1000.87,52.2,262.61,127.04,0.0,2000.79,9823.439999999999,335.36,0.0,5.684341886080801e-13
7881,377.61,4235.77,10.06,1998.04,1030.99,126.17,331.86,115.71,0.0,2109.96,10175.689999999999,160.48,0.0,-4.263256414560601e-13
7882,375.97,4366.76,188.87,1996.58,1038.92,177.56,313.22,89.74,27.83,2002.49,10577.94,0.0,0.0,0.0
7883,373.88,4329.66,264.94,1996.66,1042.75,163.74,298.7,77.08,219.91,1893.16,10660.48,0.0,0.0,0.0
7884,369.69,4302.99,98.68,1996.1,1054.67,146.83,314.42,85.68,232.07,1779.27,10380.4,0.0,0.0,0.0
7885,368.7,4356.54,57.9,1995.74,1047.39,110.79,403.72,124.63,311.29,1485.42,10262.119999999999,0.0,0.0,0.0
7886,367.63,4287.61,17.15,1995.76,1034.27,44.56,420.48,170.84,645.99,1202.32,10186.61,0.0,0.0,0.0
7887,370.74,4282.18,9.56,1996.14,1021.8,2.96,400.53,167.67,1122.93,960.29,10334.8,0.0,0.0,0.0
7888,371.08,4686.96,438.0,1997.67,1033.77,0.0,228.53,137.2,827.63,1146.81,10867.650000000001,0.0,0.0,0.0
