,biomass,gas,hydro,lignite,nuclear,other_fossil,solar,wind_onshore,AT -> SI,IT -> SI,demand,SI -> AT,SI -> IT,mismatch
1782,9.59,52.76,1051.81,267.71,695.03,9.89,2.89,0.33,91.2,0.0,1307.2599999999993,0.0,873.95,-2.2737367544323206e-13
1783,9.42,52.42,910.5,285.14,694.96,10.55,7.84,0.25,284.91,0.0,1457.7399999999998,0.0,798.25,0.0
1784,9.05,55.35,906.37,265.95,694.82,11.15,16.14,0.2,235.89,0.0,1523.87,0.0,671.0500000000001,1.1368683772161603e-13
1785,9.03,55.79,1092.41,264.92,694.98,9.93,26.97,0.17,250.38,0.0,1651.9,0.0,752.68,-1.1368683772161603e-13
1786,8.89,54.03,1087.84,267.64,695.39,10.06,40.62,0.16,186.79,0.0,1652.6799999999998,0.0,698.74,-2.2737367544323206e-13
1787,8.89,59.04,924.63,253.45,695.41,8.6,49.61,0.3,232.17,0.0,1462.94,0.0,769.16,-1.1368683772161603e-13
1788,9.59,55.17,897.03,249.65,695.84,9.01,51.85,0.35,323.37,0.0,1396.3700000000003,0.0,895.49,-2.2737367544323206e-13
1789,9.59,62.84,880.15,254.79,695.81,10.83,57.38,0.32,284.35,0.0,1179.6799999999998,0.0,1076.38,0.0
1790,9.59,62.81,824.59,252.32,695.77,10.68,50.41,0.35,227.26,0.0,1061.8899999999994,0.0,1071.89,2.2737367544323206e-13
1791,9.59,60.57,836.47,252.13,695.74,10.61,32.92,0.27,68.41,0.0,993.4200000000002,0.0,973.29,-1.1368683772161603e-13
1792,8.94,62.06,873.2,249.4,695.96,10.46,6.61,0.29,145.17999999999998,0.0,1014.3399999999998,0.0,1037.76,2.2737367544323206e-13
1793,9.76,66.14,912.42,251.95,695.81,11.33,0.07,0.23,326.99,0.0,1263.4299999999998,0.0,1011.27,0.0
1794,9.71,60.24,887.89,246.61,695.95,10.65,0.06,0.54,259.55,0.0,1507.2000000000003,0.0,664.0,0.0
1795,9.12,57.57,883.12,246.46,695.81,10.74,0.06,0.6,282.04,0.0,1409.9099999999999,0.0,775.61,1.1368683772161603e-13
1796,9.16,56.55,879.19,217.55,695.82,12.73,0.06,0.64,0.0,0.0,1166.3100000000002,48.71,656.68,-1.1368683772161603e-13
1797,9.41,56.28,717.39,219.53,695.93,9.99,0.06,0.46,0.0,0.0,907.8599999999998,54.1,747.09,1.1368683772161603e-13
1798,9.24,61.24,593.4,226.53,695.88,12.2,0.06,0.29,0.0,0.0,585.3799999999999,82.83,930.63,0.0
1799,10.32,38.96,656.59,220.51,695.74,12.47,0.06,0.2,0.0,0.0,416.8699999999999,208.15,1009.83,0.0
1800,10.69,37.52,546.29,219.04,695.78,12.04,0.06,0.25,0.0,0.0,279.3900000000001,233.56,1008.72,-2.2737367544323206e-13
1801,10.69,35.21,553.35,218.78,695.9,11.19,0.06,0.58,0.0,0.0,110.82999999999994,341.81,1073.12,0.0
1802,10.66,51.61,576.46,219.52,695.75,11.7,0.06,0.47,0.0,0.0,217.88999999999987,356.03,992.31,2.2737367544323206e-13
1803,10.64,46.66,576.52,224.42,695.75,13.97,0.06,0.34,0.0,0.0,316.8699999999999,357.87,893.62,-2.2737367544323206e-13
1804,9.98,50.88,672.65,230.86,695.63,11.63,0.06,0.44,0.0,0.0,417.9400000000001,386.98,867.21,0.0
1805,9.98,54.68,738.17,248.15,695.69,10.79,0.33,0.21,0.0,0.0,767.6100000000001,282.13,708.26,-1.1368683772161603e-13
1806,9.94,54.72,828.48,248.87,695.49,10.55,3.3,0.05,0.0,0.0,1133.26,175.36,542.78,-1.1368683772161603e-13
1807,9.81,55.84,883.52,265.32,695.31,10.79,6.85,0.41,0.0,0.0,1229.5,168.56,529.79,0.0
1808,10.31,52.7,975.05,277.73,695.51,9.34,10.13,0.32,0.0,0.0,1364.51,87.56,579.0200000000001,-2.2737367544323206e-13
1809,10.45,57.34,941.44,283.64,695.6,10.17,15.48,0.25,0.0,0.0,1431.1499999999996,37.09,546.13,2.2737367544323206e-13
1810,10.47,55.28,1041.33,268.88,695.76,10.14,20.98,0.28,66.05,0.0,1585.3100000000004,0.0,583.86,1.1368683772161603e-13
1811,10.62,49.28,1022.8,262.71,696.07,9.1,25.94,0.28,53.2,0.0,1492.3899999999999,0.0,637.61,1.1368683772161603e-13
1812,9.94,56.03,998.92,261.11,696.07,9.31,19.24,0.29,25.92,0.0,1228.25,0.0,848.58,-1.1368683772161603e-13
1813,9.94,61.44,818.81,220.28,695.81,11.37,15.93,0.24,29.5,0.0,1018.76,0.0,844.56,0.0
1814,9.94,61.16,836.42,227.71,696.04,11.19,12.58,0.27,0.0,0.0,933.9999999999999,45.34,875.97,0.0
1815,9.94,59.78,883.85,229.24,695.99,10.66,7.24,0.15,0.0,0.0,978.95,26.25,891.65,1.1368683772161603e-13
1816,10.79,61.94,892.31,224.62,695.83,11.11,1.21,0.16,167.96,0.0,1178.79,0.0,887.14,-1.1368683772161603e-13
1817,10.99,65.93,995.88,231.26,695.6,11.81,0.06,0.07,282.39,0.0,1319.5099999999998,0.0,974.48,0.0
1818,10.86,60.37,974.01,204.72,695.69,10.95,0.06,0.49,360.36,0.0,1343.5800000000004,0.0,973.93,-1.1368683772161603e-13
1819,10.6,57.65,882.66,178.01,695.79,11.14,0.06,0.61,405.91,0.0,1182.6999999999998,0.0,1059.73,0.0
1820,10.51,57.92,598.17,184.65,695.73,13.17,0.06,0.56,293.90000000000003,0.0,960.8400000000001,0.0,893.83,-1.1368683772161603e-13
1821,10.7,55.92,666.06,221.87,695.67,9.55,0.06,0.37,36.95,0.0,969.8599999999996,0.0,727.29,1.1368683772161603e-13
1822,10.44,65.98,481.58,216.07,695.79,12.59,0.06,0.58,36.78999999999999,0.0,861.7299999999996,0.0,658.15,1.1368683772161603e-13
