,biomass,gas,hydro,nuclear,other_fossil,solar,wind_offshore,wind_onshore,demand,s_l,s_r
177,368.39,2317.63,770.1,4956.93,1027.46,63.89,710.71,402.34,12433.0,0.0,2.3399999999979855
178,374.52,2508.1,719.62,4956.08,1018.18,116.47,637.53,369.92,12426.0,0.0,61.26999999999998
179,378.6,2864.22,171.34,4954.48,1023.05,172.94,643.21,317.5,12183.0,0.0,134.37999999999965
180,376.27,3071.71,28.0,4953.54,1112.88,194.61,597.42,322.51,12122.0,0.0,322.17000000000326
181,390.37,3085.04,28.56,4952.07,1070.03,175.87,585.36,327.98,12026.0,0.0,242.4900000000007
182,386.86,3073.26,29.36,4952.26,1065.2,93.72,475.22,305.12,11998.0,0.0,154.99000000000115
183,387.09,2935.9,79.49,4954.31,1080.19,21.66,394.84,298.4,11970.0,6.229999999999336,0.0
184,389.92,3107.26,814.59,4955.76,1138.56,0.0,386.81,331.47,12593.0,0.0,45.68999999999892
185,392.94,3082.59,873.67,4957.8,1236.65,0.0,361.13,363.78,12358.0,0.0,71.72000000000025
186,387.85,3050.22,502.93,4959.37,1163.8,0.0,365.87,406.77,11979.0,0.0,93.71000000000049
187,385.91,2886.96,356.87,4961.52,1044.71,0.0,538.49,405.88,11616.0,0.0,110.86000000000035
188,371.33,2688.74,285.035,4962.52,1032.08,0.0,434.76,342.27,11035.0,0.0,501.895000000001
189,374.68,2769.41,213.54,4963.32,1024.08,0.0,262.13,359.18,11098.0,0.0,44.129999999997494
190,377.25,2500.97,27.72,4964.64,968.12,0.0,360.97,376.48,11021.0,0.0,490.0799999999999
191,374.98,2219.84,27.56,4963.58,786.22,0.0,336.76,388.29,10501.0,0.0,668.2200000000021
192,372.95,2000.81,26.98,4960.65,768.37,0.0,240.11,350.14,9979.0,0.0,862.5999999999989
193,370.72,1776.38,27.02,4961.25,760.26,0.0,177.5,284.74,9679.0,0.0,844.9300000000012
194,369.76,1752.33,26.23,4961.22,755.84,0.0,209.77,193.3,9473.0,0.0,1156.9000000000015
195,371.48,1819.63,26.85,4961.69,763.82,0.0,135.7,172.01,9466.0,0.0,1216.6299999999974
196,373.25,1979.94,26.88,4962.98,765.11,0.0,84.05,163.75,9907.0,0.0,1038.039999999999
197,371.15,2573.93,26.87,4962.19,784.7,0.0,53.56,213.16,11090.0,0.0,119.12999999999965
198,367.38,3630.28,138.68,4961.87,848.89,0.0,38.04,270.55,12120.0,0.0,46.309999999999036
199,371.91,3796.96,564.69,4962.54,903.45,0.1,67.41,206.81,12449.0,0.0,79.35000000000002
200,372.73,3943.68,727.94,4960.01,898.61,46.27,63.85,190.75,12464.0,0.0,40.61000000000183
201,360.03,3869.74,467.18,4960.31,886.94,166.83,44.23,199.87,12382.0,0.0,111.03000000000122
202,364.43,3778.99,435.92,4960.4,873.87,236.1,63.59,230.2,12422.0,0.0,125.6300000000013
203,369.29,3743.46,80.56,4956.4,875.09,247.12,165.4,251.09,12205.0,0.0,99.80000000000001
