,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,demand,s_l,s_r
7884,4831.0,6406.0,12063.0,1792.0,15332.0,9347.0,1489.0,131.0,3637.0,2759.0,2816.0,57082.8673,4910.847299999998,0.0
7885,4820.0,6371.0,12135.0,1476.0,15346.0,9349.0,1492.0,131.0,2080.0,2694.0,3073.0,56054.6224,4887.342399999996,0.0
7886,4811.0,6370.0,12104.0,1586.0,15136.0,9347.0,1491.0,131.0,610.0,2679.0,3737.0,56133.0204,5239.450399999998,0.0
7887,4835.0,6544.0,11710.0,1903.0,15478.0,9290.0,1493.0,131.0,18.0,2866.0,4882.0,58196.4898,5298.379800000001,0.0
7888,4848.0,6842.0,11777.0,2701.0,15501.0,9264.0,1493.0,131.0,0.0,3589.0,6037.0,61493.8571,5222.847100000003,0.0
7889,4847.0,6842.0,11723.0,2012.0,15489.0,9212.0,1504.0,131.0,0.0,3858.0,7133.0,61957.0,5250.699999999998,0.0
7890,4846.0,6802.0,11297.0,1336.0,15457.0,9166.0,1488.0,131.0,0.0,3899.0,8163.0,60414.8265,5006.406500000001,0.0
7891,4793.0,6656.0,10415.0,1133.0,15320.0,9076.0,1482.0,131.0,0.0,3843.0,8646.0,58018.7857,4569.425699999998,0.0
7892,4803.0,6600.0,9658.0,1068.0,15376.0,8960.0,1485.0,131.0,0.0,4017.0,9191.0,56451.3469,3002.416899999993,0.0
7893,4780.0,6579.0,9057.0,1076.0,15398.0,8882.0,1484.0,131.0,0.0,4259.0,9480.0,56216.1735,2365.1234999999942,0.0
7894,4778.0,6264.0,8674.0,1079.0,15163.0,8867.0,1474.0,131.0,0.0,4266.0,9463.0,53082.6939,1844.8138999999956,0.0
7895,4722.0,5530.0,8099.0,1117.0,14527.0,8974.0,1431.0,131.0,0.0,4071.0,9578.0,50348.6327,0.0,1002.1972999999962
7896,4707.0,5184.0,7453.0,1155.0,14303.0,9117.0,1433.0,131.0,0.0,3985.0,10028.0,48905.3469,0.0,1466.6631000000016
7897,4706.0,4990.0,7668.0,1198.0,14327.0,9263.0,1430.0,131.0,0.0,3916.0,10198.0,48119.7653,0.0,1588.2747000000036
7898,4684.0,5027.0,7919.0,1138.0,13615.0,9291.0,1421.0,131.0,0.0,3928.0,10047.0,48138.8571,0.0,1468.032900000002
