,hydro,nuclear,solar,wind_onshore,demand,s_l,s_r
349,2825.06,2826.6,53.55,20.08,8557.0,1415.5400000000009,0.0
350,2795.86,2826.1,29.53,22.05,8475.0,1267.58,0.0
351,2864.89,2825.3,7.68,26.98,8487.0,1289.369999999999,0.0
352,4205.13,2825.1,0.3,27.42,8708.0,1534.6100000000006,0.0
353,3880.81,2826.3,0.29,29.64,8721.0,1922.1799999999985,0.0
354,2833.8,2821.6,0.28,30.08,8358.0,1541.5699999999997,0.0
355,1897.21,2818.6,0.28,28.41,7854.0,1153.4700000000012,0.0
356,1233.91,2817.2,0.28,25.46,7415.0,1034.75,0.0
357,1321.76,2817.0,0.28,28.27,7254.0,835.1800000000003,0.0
358,829.16,2815.8,0.27,30.08,6934.0,689.5200000000004,0.0
359,645.29,2816.0,0.28,30.46,6820.0,580.6499999999996,0.0
360,561.88,2815.4,0.28,27.86,7099.0,561.4300000000003,0.0
361,581.41,2813.9,0.28,25.61,7196.0,617.2299999999996,0.0
362,551.31,2816.5,0.28,24.29,7412.0,600.6599999999999,0.0
363,546.09,2823.3,0.28,22.25,7362.0,578.6799999999985,0.0
364,665.71,2821.8,0.28,19.69,7239.0,440.0,0.0
365,1269.3,2819.6,0.28,19.53,7503.0,665.6700000000001,0.0
366,2076.68,2813.5,0.29,22.64,8285.0,1512.42,0.0
367,3103.55,2809.7,2.04,26.93,8726.0,1499.5599999999995,0.0
368,3083.3,2811.5,13.75,28.47,8797.0,1492.0200000000004,0.0
369,3083.26,2808.1,30.77,27.19,8912.0,1633.9799999999996,0.0
370,3245.05,2708.7,40.37,24.52,9068.0,1663.1499999999996,0.0
371,3115.08,2532.0,51.19,18.61,8658.0,1509.3199999999997,0.0
372,2938.28,2808.2,60.5,23.35,8622.0,1113.0300000000007,0.0
373,3101.06,2803.3,41.72,22.34,8458.0,1019.7599999999984,0.0
374,3240.94,2806.7,14.98,23.52,8518.0,969.9799999999996,0.0
375,3158.18,2809.8,3.05,28.46,8571.0,1022.8299999999999,0.0
376,2926.13,2809.5,0.28,21.77,8728.0,1379.9599999999991,0.0
