,biomass,gas,hydro,lignite,nuclear,other_fossil,solar,wind_onshore,demand,s_l,s_r
7112,8.48,34.68,389.81,734.74,684.28,12.84,91.29,0.7,1854.0,0.0,38.92000000000007
7113,8.51,31.97,420.32,764.59,684.03,13.97,115.99,0.65,1876.0,0.0,237.1700000000002
7114,8.49,32.34,330.5,708.1,683.88,14.91,124.83,0.63,1863.0,84.38000000000011,0.0
7115,8.46,29.83,323.53,794.27,684.12,13.01,120.32,1.1,1891.0,122.14000000000021,0.0
7116,9.04,29.1,213.06,828.11,683.93,12.35,106.7,1.25,1818.0,103.87000000000046,0.0
7117,9.31,28.29,169.84,798.16,683.78,13.57,73.97,1.14,1810.0,304.62000000000035,0.0
7118,8.73,29.22,269.39,844.42,683.57,15.41,35.63,1.01,1807.0,245.24000000000012,0.0
7119,9.17,26.76,406.05,841.13,683.79,9.76,6.61,1.07,1787.0,132.94000000000017,0.0
7120,9.02,28.81,781.73,865.14,684.16,14.99,0.19,2.24,1936.0,0.0,254.21999999999946
7121,8.46,34.14,756.81,863.23,684.35,14.75,0.03,2.31,1979.0,31.910000000000082,0.0
7122,8.47,35.6,667.02,844.51,684.25,14.93,0.04,1.71,1922.0,0.0,22.369999999999663
7123,8.47,52.87,360.26,790.3,684.27,7.04,0.04,1.18,1725.0,126.92000000000019,0.0
7124,8.47,42.18,271.17,745.56,684.16,14.5,0.05,1.06,1611.0,47.650000000000205,0.0
7125,8.45,39.11,170.76,664.42,684.34,15.94,0.03,0.6,1492.0,327.2500000000002,0.0
7126,8.88,33.35,117.92,645.81,684.74,11.71,0.02,0.1,1412.0,335.5500000000003,0.0
7127,8.83,31.21,58.86,593.57,684.68,12.56,0.03,0.17,1354.0,447.61,0.0
7128,8.83,33.64,54.85,592.28,684.63,12.17,0.03,0.12,1310.0,391.46000000000015,0.0
7129,8.84,36.24,55.08,570.36,684.67,13.28,0.05,0.01,1340.0,453.39999999999986,0.0
7130,8.83,39.53,55.2,652.58,684.68,12.93,0.05,0.16,1354.0,20.6099999999999,0.0
7131,8.83,43.92,97.48,680.18,684.85,14.54,0.04,0.15,1460.0,0.0,101.31000000000006
7132,8.83,43.23,115.78,745.99,684.67,12.16,0.05,1.33,1768.0,291.3600000000001,0.0
7133,8.87,45.08,351.41,806.38,684.41,9.96,0.78,0.6,1951.0,305.64,0.0
7134,9.39,40.9,576.74,824.88,684.35,9.62,14.87,0.2,1980.0,0.0,23.769999999999413
7135,9.42,38.15,461.12,819.19,688.08,12.88,51.7,0.25,1896.0,0.0,158.38999999999982
7136,8.91,37.32,291.74,761.65,684.9,12.94,84.37,0.46,1831.0,0.0,113.36000000000013
7137,8.86,33.65,252.34,734.77,684.57,14.01,105.31,0.46,1843.0,0.0,131.01000000000016
7138,8.85,33.17,163.77,719.12,684.36,14.65,110.86,0.68,1826.0,0.0,10.870000000000005
7139,8.87,30.52,188.45,728.16,684.41,11.37,104.38,1.16,1904.0,133.62000000000023,0.0
7140,9.45,29.09,164.85,704.03,684.33,12.3,81.88,1.25,1816.0,126.09000000000015,0.0
7141,9.4,28.63,156.91,698.75,684.13,13.24,46.39,0.94,1810.0,327.8199999999998,0.0
7142,8.98,28.37,278.03,748.96,683.91,14.11,18.62,1.02,1799.0,213.17000000000053,0.0
7143,9.46,28.11,377.03,801.37,683.86,9.98,4.02,1.1,1809.0,172.5200000000002,0.0
7144,9.4,29.5,723.62,859.85,684.01,14.33,0.12,0.43,1948.0,0.0,306.76999999999964
7145,8.83,34.74,730.08,862.15,684.2,14.09,0.03,0.63,1988.0,0.0,96.71000000000072
7146,8.84,36.99,511.73,856.9,684.1,14.22,0.05,0.84,1896.0,63.51999999999998,0.0
7147,8.84,48.55,374.06,809.09,684.17,5.99,0.06,0.85,1743.0,0.0,80.93000000000006
7148,8.84,38.08,292.84,796.9,684.16,14.48,0.06,0.8,1634.0,0.0,107.62999999999977
7149,8.83,36.2,128.69,710.74,684.11,15.91,0.04,0.51,1511.0,92.38999999999976,0.0
7150,8.81,34.64,66.7,659.69,684.57,11.53,0.03,1.36,1433.0,347.70000000000005,0.0
7151,8.81,32.72,65.35,700.3,684.65,12.36,0.02,1.17,1384.0,403.71000000000015,0.0
7152,8.81,34.97,65.77,697.72,684.57,12.2,0.02,1.35,1339.0,362.9999999999999,0.0
7153,8.81,36.96,65.51,681.95,684.52,13.15,0.03,1.17,1334.0,279.14999999999986,0.0
7154,8.81,38.53,65.52,678.37,684.92,13.0,0.04,1.2,1333.0,0.0,79.25999999999999
7155,8.81,45.68,65.14,711.9,685.05,14.65,0.05,1.44,1450.0,0.0,275.7200000000002
7156,8.81,44.17,106.01,781.8,684.91,12.5,0.05,1.66,1724.0,79.46000000000004,0.0
7157,8.81,44.81,446.72,859.54,684.77,11.29,0.37,1.44,1937.0,0.0,36.18999999999994
7158,9.38,49.82,632.74,861.64,684.48,9.46,6.64,1.41,1995.0,0.0,182.40999999999963
7159,9.38,101.77,652.46,860.71,684.84,12.93,18.85,1.35,1954.0,0.0,287.6700000000002
7160,8.83,37.28,679.46,843.87,684.91,13.2,32.34,1.57,1887.0,0.0,498.75
7161,8.87,37.76,509.18,840.9,684.67,15.02,44.57,1.35,1923.0,0.0,490.88000000000034
7162,8.86,33.92,283.99,819.96,684.69,14.81,55.37,1.19,1889.0,0.0,187.54999999999973
7163,8.95,32.23,275.38,832.69,684.48,12.98,63.57,1.39,1941.0,0.0,24.27000000000021
