,biomass,gas,hard_coal,other_fossil,solar,wind_offshore,wind_onshore,demand,s_l,s_r
7992,563.39,226.7,728.92,111.97,0.0,995.22,2729.18,3661.0,0.0,70.59999999999945
7993,586.22,224.73,742.48,113.24,0.0,993.17,2698.79,3579.5,0.0,47.5300000000002
7994,683.63,221.43,816.19,112.34,0.0,982.12,2524.27,3587.3,0.0,50.289999999999054
7995,648.23,238.34,737.83,124.4,0.01,975.73,2701.75,3606.4,0.0,62.429999999999836
7996,642.18,236.16,595.11,119.58,0.02,956.73,2726.78,3877.2,0.0,72.12999999999965
7997,676.49,266.5,618.38,109.49,0.02,945.81,2585.11,4527.4,0.0,101.59999999999968
7998,770.7,347.29,834.64,118.66,0.04,932.06,2604.79,5089.5,0.0,99.5500000000003
7999,786.91,421.82,980.89,132.4,0.82,930.31,2496.57,5189.3,0.0,86.67000000000019
8000,732.86,401.58,748.81,137.62,10.89,906.01,2470.75,5265.1,0.0,70.22000000000037
8001,738.25,422.24,777.95,143.86,36.56,913.69,2542.48,5221.9,0.0,91.28000000000134
8002,724.49,425.74,775.75,142.32,64.21,904.22,2573.67,5229.9,0.0,79.46000000000083
8003,723.16,417.3,811.74,143.42,59.21,899.62,2589.94,5042.5,0.0,79.80999999999926
8004,700.74,393.56,833.7,139.44,43.19,861.15,2475.98,5017.3,0.0,70.82999999999993
8005,739.17,458.32,1187.05,149.52,26.44,830.01,2324.26,4779.6,0.0,57.649999999999636
8006,734.67,513.8,1306.19,146.34,4.49,837.67,2257.61,4715.6,0.0,35.59999999999991
8007,740.87,490.44,1259.78,144.05,0.14,827.5,2283.59,4956.8,0.0,126.0300000000002
8008,673.22,467.47,875.73,141.41,0.02,812.56,2237.6,5245.4,0.0,85.76000000000067
8009,662.74,410.39,624.79,132.91,0.02,793.35,2240.89,5181.5,0.0,73.23999999999978
8010,693.68,511.58,1140.43,157.07,0.02,792.67,2242.4,4650.0,0.0,40.680000000000746
8011,690.58,440.82,1241.32,147.46,0.02,788.98,2195.53,4344.9,0.0,67.12000000000103
8012,691.55,383.01,1127.38,161.76,0.01,795.12,2064.07,4067.9,0.0,80.18999999999937
8013,696.21,378.59,1036.37,175.34,0.0,812.06,1924.5,3797.7,0.0,77.34999999999968
8014,690.11,337.54,1161.9,157.53,0.0,802.97,1801.8,3540.9,0.0,73.21000000000049
8015,635.09,280.81,698.36,158.94,0.0,758.39,1653.85,3435.0,0.0,62.3400000000006
8016,613.52,259.45,655.81,151.76,0.0,768.73,1579.63,3211.3,0.0,86.17999999999984
8017,585.46,265.65,678.7,151.67,0.0,745.51,1625.98,3134.4,0.0,92.25
8018,617.01,267.47,729.5,151.97,0.0,749.59,1625.33,3064.3,0.0,80.35999999999967
8019,592.2,281.39,701.32,156.39,0.01,743.51,1462.41,3094.3,0.0,123.97000000000025
8020,622.66,292.26,775.9,159.13,0.02,713.25,1193.94,3105.7,0.0,132.01999999999953
8021,661.6,307.24,862.99,149.44,0.02,704.85,1114.65,3307.8,0.0,40.38999999999987
8022,730.93,368.11,1082.82,151.79,0.04,628.1,1128.31,3641.0,0.0,38.44999999999891
8023,686.59,372.02,1169.49,161.8,2.1,719.15,1021.59,3928.6,0.0,37.80000000000041
8024,746.07,503.34,1196.37,164.66,18.3,759.48,941.96,4131.3,7.600000000000136,0.0
8025,714.46,513.45,1130.51,165.02,47.16,771.67,1016.23,4249.8,0.0,19.429999999999836
8026,708.62,549.67,983.14,164.64,67.91,767.34,926.41,4242.5,6.150000000000546,0.0
8027,718.68,525.23,950.55,163.16,75.55,678.85,865.11,4200.5,0.0,22.959999999999923
8028,747.85,569.8,1408.67,165.31,71.09,575.91,801.59,4142.3,0.0,29.19000000000051
8029,701.16,516.88,1108.94,160.87,31.29,500.78,720.17,4192.3,0.0,12.829999999999359
8030,729.19,533.1,1217.92,162.26,4.91,451.42,705.44,4250.0,14.339999999999804,0.0
8031,795.24,544.21,1293.35,162.39,0.11,416.6,739.35,4516.8,25.860000000000127,0.0
8032,779.91,582.7,1355.62,165.1,0.02,468.17,850.91,4730.2,7.299999999999386,0.0
8033,752.77,570.12,1269.69,165.49,0.02,511.45,932.18,4570.3,0.0,23.309999999999548
8034,759.94,552.89,1439.08,166.74,0.02,622.36,1020.09,4257.8,0.0,33.579999999999814
8035,701.13,515.93,1191.69,165.48,0.02,660.24,1074.61,4029.5,0.0,14.029999999999745
8036,741.54,299.49,937.04,159.9,0.01,669.52,1047.58,3819.2,0.0,37.669999999999845
8037,746.87,264.58,803.09,152.32,0.0,690.11,941.64,3592.1,3.959999999999809,0.0
8038,677.37,238.91,729.77,138.23,0.0,623.46,950.44,3358.5,21.559999999999945,0.0
8039,496.46,171.61,572.6,138.23,0.0,649.83,1013.15,3182.9,13.889999999999645,0.0
8040,484.36,160.35,568.46,140.23,0.0,572.83,1187.15,3064.8,8.960000000000036,0.0
8041,433.79,151.52,648.29,140.14,0.0,652.44,1299.32,2989.5,0.0,1.6600000000003092
8042,437.86,149.13,663.85,140.77,0.0,749.12,1441.87,2957.8,0.0,15.109999999999673
8043,463.81,141.35,663.91,139.86,0.01,753.04,1576.01,3075.9,0.0,50.07999999999993
8044,562.17,136.53,650.18,127.11,0.02,743.71,1639.78,3229.1,0.0,49.44999999999982
8045,594.85,137.08,655.11,122.32,0.03,830.11,1487.13,3496.9,0.0,39.83999999999969
8046,587.29,144.12,740.87,128.31,0.04,868.76,1588.23,3750.3,0.0,56.0300000000002
8047,599.66,199.18,721.32,129.64,0.44,894.14,1849.44,4001.6,0.0,67.44999999999936
8048,615.31,253.45,718.75,125.0,3.56,861.0,1960.57,4152.8,0.0,81.45999999999958
8049,610.08,294.58,746.55,122.04,9.48,856.08,1896.23,4338.9,0.0,57.69000000000051
8050,655.64,346.18,711.77,133.2,12.19,817.84,1791.88,4333.6,0.0,55.06000000000063
8051,625.63,363.45,817.39,133.6,14.23,790.39,1646.06,4316.8,0.0,81.5499999999995
8052,654.49,392.4,851.37,135.63,12.29,725.62,1408.44,4251.9,0.0,84.7199999999998
8053,673.24,428.05,865.01,137.14,9.18,712.37,1200.85,4260.3,0.0,87.75999999999885
