,biomass,gas,hydro,other_fossil,solar,wind_onshore,demand,s_l,s_r
271,52.66,45.93,514.81,37.8,0.97,107.56,1869.0,0.0,106.50999999999976
272,52.51,45.97,514.89,38.16,2.08,84.37,1870.0,0.0,30.88000000000011
273,52.25,46.02,506.91,38.19,4.25,83.72,1861.0,1.5100000000000477,0.0
274,52.21,46.05,314.02,38.05,4.07,79.12,1831.0,85.96000000000026,0.0
275,52.13,46.05,116.35,37.63,3.43,79.85,1843.0,168.06999999999988,0.0
276,51.93,46.08,105.46,37.2,1.16,98.29,1816.0,108.69000000000011,0.0
277,52.07,46.07,105.46,37.3,0.07,115.87,1796.0,30.99000000000001,0.0
278,52.12,46.06,137.48,37.56,0.0,124.4,1802.0,37.009999999999934,0.0
279,52.22,46.06,296.69,38.55,0.0,125.97,1845.0,27.359999999999843,0.0
280,52.6,46.08,279.4,38.97,0.0,113.42,1801.0,0.0,4.629999999999825
281,52.74,46.07,152.05,38.4,0.0,105.3,1751.0,31.540000000000134,0.0
282,52.66,46.07,105.47,39.09,0.0,104.51,1677.0,191.26000000000005,0.0
283,52.61,46.1,105.41,39.58,0.0,105.9,1573.0,348.49,0.0
284,51.89,46.1,105.44,39.85,0.0,104.73,1439.0,362.28,0.0
285,51.11,46.03,102.76,40.38,0.0,103.64,1320.0,396.9799999999999,0.0
286,51.96,46.07,96.63,40.15,0.0,86.18,1242.0,292.04999999999995,0.0
287,52.2,46.03,48.64,38.83,0.0,76.74,1165.0,284.30999999999995,0.0
288,52.18,46.06,73.87,38.23,0.0,68.24,1134.0,227.67000000000002,0.0
289,52.16,46.09,54.0,37.53,0.0,59.17,1121.0,201.16000000000008,0.0
290,52.54,46.11,58.2,38.09,0.0,69.98,1125.0,141.58999999999992,0.0
291,52.8,46.1,58.14,38.22,0.0,71.82,1149.0,34.319999999999936,0.0
292,52.56,46.03,58.1,37.41,0.0,77.02,1232.0,0.0,51.230000000000025
293,52.64,46.05,58.36,36.6,0.0,73.07,1330.0,102.13137254901969,0.0
294,53.05,46.05,104.63,36.84,0.33,66.48,1414.0,0.0,25.39000000000002
295,53.07,46.06,105.54,36.96,4.45,61.98,1533.0,153.7100000000001,0.0
296,52.91,46.06,105.54,36.66,13.01,62.88,1587.0,159.00000000000017,0.0
297,52.45,46.04,105.45,37.65,19.61,50.56,1602.0,144.43999999999994,0.0
298,52.14,46.08,105.44,37.95,21.04,40.46,1585.0,152.38999999999976,0.0
299,51.88,46.08,105.44,37.69,7.0,42.66,1566.0,132.47999999999996,0.0
300,51.88,46.11,105.48,38.22,8.21,45.7,1538.0,120.48000000000002,0.0
301,51.82,46.16,105.46,38.4,6.01,44.84,1525.0,73.39999999999992,0.0
302,51.8,46.3,105.46,38.55,0.01,69.97,1567.0,1.7099999999998658,0.0
303,52.07,46.2,105.43,38.37,0.0,104.32,1668.0,0.0,129.28999999999996
304,52.03,46.08,105.44,37.18,0.0,125.38,1673.0,97.89999999999986,0.0
305,52.1,46.11,105.42,37.12,0.0,126.7,1633.0,92.92999999999995,0.0
306,52.22,46.07,105.36,38.27,0.0,111.12,1579.0,46.38000000000011,0.0
307,52.27,46.09,96.55,38.33,0.0,85.75,1506.0,93.70000000000005,0.0
308,51.97,46.1,32.86,37.73,0.0,73.74,1399.0,105.25999999999982,0.0
309,51.64,46.02,33.01,37.81,0.0,75.39,1272.0,272.12,0.0
310,51.51,46.01,33.07,36.93,0.0,72.69,1194.0,246.02999999999992,0.0
311,51.61,46.01,51.06,37.58,0.0,67.41,1144.0,53.32999999999997,0.0
312,51.6,46.02,32.91,37.83,0.0,64.16,1111.0,66.63000000000011,0.0
313,51.68,46.02,32.97,37.52,0.0,58.17,1102.0,39.559999999999945,0.0
314,51.75,46.06,32.98,37.81,0.0,52.66,1101.0,0.0,86.94000000000005
315,52.07,46.07,33.01,37.65,0.0,49.27,1124.0,0.0,68.61999999999989
316,52.14,46.22,33.03,37.15,0.0,51.46,1196.0,0.0,126.0
317,52.14,46.16,33.04,37.33,0.0,53.34,1264.0,54.47000000000003,0.0
318,51.76,46.21,76.35,37.1,0.3,67.02,1335.0,85.26999999999994,0.0
319,52.62,46.16,76.33,37.2,1.12,68.45,1432.0,97.32999999999981,0.0
320,52.66,46.15,76.29,37.13,5.66,65.13,1523.0,275.5199999999999,0.0
321,52.56,46.14,76.41,37.04,7.55,66.53,1560.0,330.51000000000005,0.0
322,52.55,46.08,76.32,37.15,7.3,61.63,1566.0,440.5200000000001,0.0
323,52.51,46.13,90.43,36.92,6.21,56.58,1557.0,391.84000000000003,0.0
324,52.49,46.13,76.3,36.47,3.18,63.13,1542.0,395.2999999999999,0.0
325,52.55,46.16,80.47,36.4,0.63,66.58,1540.0,398.92,0.0
326,52.58,46.15,84.63,36.29,0.0,79.79,1597.0,498.48999999999995,0.0
327,52.65,46.17,104.51,36.38,0.0,85.59,1696.0,449.0000000000001,0.0
