,biomass,gas,hard_coal,hydro,lignite,other_fossil,wind_onshore,demand,s_l,s_r
8216,244.18,1032.53,8754.27,161.65,3323.95,249.31,3590.13,16498.9796,359.3596000000002,0.0
8217,246.16,1074.09,8840.36,374.49,3781.7,249.47,3651.82,17164.2857,422.18569999999954,0.0
8218,245.02,1073.55,8941.93,486.92,3835.63,249.79,3680.95,17556.1224,427.4524000000006,0.0
8219,246.18,1072.91,9077.09,486.74,3874.32,249.22,3502.48,17714.2857,396.3657000000021,0.0
8220,246.2,1072.78,9207.93,538.33,3965.28,246.67,3415.97,17960.2041,416.05409999999756,0.0
8221,246.75,1077.91,9086.5,148.44,4184.15,248.64,3294.82,17648.9796,469.8195999999989,0.0
8222,245.57,1088.55,8867.5,180.13,4348.31,248.99,3171.44,17591.8367,416.56670000000236,0.0
8223,244.74,1089.04,8817.86,503.42,4482.05,249.46,3099.23,18352.0408,448.88079999999854,0.0
8224,227.01,1089.76,8920.23,909.3,4197.01,249.12,3081.34,18587.7551,500.2250999999985,0.0
8225,190.39,1092.04,8984.55,1294.2,4019.74,248.92,2936.89,18613.2653,495.85530000000017,0.0
8226,189.62,1092.56,9091.83,1271.59,4096.25,249.85,2802.92,18573.4694,504.84939999999733,0.0
8227,190.12,1092.62,9144.36,816.35,4075.4,249.29,2783.69,18223.4694,486.22939999999926,0.0
8228,190.31,1088.53,9131.9,475.15,3919.9,247.69,2765.56,17422.449,490.9190000000001,0.0
8229,189.79,1061.71,8736.24,144.36,3875.26,247.94,2893.51,16710.2041,370.4240999999961,0.0
8230,200.38,1031.05,8557.3,124.78,3004.66,248.09,2930.74,15667.3469,198.63690000000042,0.0
8231,243.52,963.51,8242.61,116.91,2756.69,247.71,3133.76,14855.102,0.0,381.83799999999883
8232,246.57,962.82,8173.37,116.8,2780.39,248.11,3380.58,14415.3061,0.0,974.0039000000006
8233,247.93,957.75,8138.84,116.78,2773.21,247.47,3502.44,14292.8571,0.0,1193.512900000001
8234,245.5,880.12,8153.79,116.76,2788.04,247.75,3536.34,14371.4286,0.0,1131.4714000000013
8235,244.21,903.08,8342.91,116.79,3080.88,246.42,3679.48,14760.2041,0.0,1105.4759000000022
8236,245.38,1038.44,8629.45,117.09,3300.23,245.79,3877.52,15792.8571,0.0,895.612900000001
