,biomass,gas,hydro,other_fossil,wind_onshore,demand,s_l,s_r
7822,89.0,553.0,4.0,86.0,1.0,709.0,589.5,0.0
7823,85.0,429.0,0.0,86.0,2.0,671.0,531.5,0.0
7824,82.0,424.0,0.0,86.0,1.0,652.0,485.5,0.0
7825,82.0,413.0,0.0,86.0,3.0,648.0,583.0,0.0
7826,82.0,427.0,0.0,86.0,2.0,659.0,589.5,0.0
7827,82.0,428.0,0.0,86.0,3.0,701.0,487.5,0.0
7828,83.0,450.0,47.0,85.0,4.0,825.0,408.5,0.0
7829,86.0,478.0,193.0,85.0,3.0,976.0,587.0,0.0
7830,89.0,480.0,352.0,85.0,2.0,1067.0,591.5,0.0
7831,89.0,485.0,541.0,85.0,3.0,1120.0,616.5,0.0
7832,89.0,485.0,461.0,85.0,7.0,1118.0,619.5,0.0
7833,89.0,486.0,467.0,85.0,7.0,1109.0,639.5,0.0
7834,90.0,485.0,481.0,85.0,11.0,1072.0,579.0,0.0
7835,90.0,485.0,465.0,85.0,13.0,1087.0,567.5,0.0
7836,90.0,485.0,409.0,85.0,10.0,1083.0,604.0,0.0
7837,90.0,484.0,406.0,85.0,10.0,1083.0,637.0,0.0
7838,90.0,485.0,406.0,86.0,16.0,1116.0,744.5,0.0
7839,91.0,485.0,407.0,86.0,16.0,1099.0,644.0,0.0
7840,91.0,486.0,497.0,87.0,22.0,1080.0,688.5,0.0
7841,91.0,485.0,407.0,87.0,20.0,1031.0,694.5,0.0
7842,91.0,485.0,378.0,87.0,16.0,1000.0,638.0,0.0
7843,91.0,479.0,197.0,87.0,12.0,946.0,625.5,0.0
7844,91.0,478.0,191.0,87.0,13.0,868.0,617.5,0.0
7845,91.0,477.0,102.0,87.0,13.0,797.0,771.5,0.0
7846,91.0,477.0,8.0,87.0,15.0,734.0,720.5,0.0
7847,87.0,478.0,0.0,87.0,12.0,689.0,663.5,0.0
7848,83.0,478.0,0.0,85.0,11.0,662.0,599.0,0.0
7849,84.0,478.0,0.0,87.0,8.0,656.0,631.5,0.0
7850,84.0,478.0,0.0,86.0,5.0,656.0,619.5,0.0
7851,84.0,478.0,0.0,86.0,2.0,675.0,622.5,0.0
7852,83.0,478.0,0.0,86.0,0.0,720.0,572.5,0.0
7853,87.0,477.0,0.0,86.0,0.0,798.0,810.0,0.0
7854,90.0,477.0,26.0,86.0,0.0,866.0,839.0,0.0
7855,90.0,477.0,4.0,85.0,0.0,934.0,861.0,0.0
7856,90.0,477.0,17.0,85.0,0.0,970.0,894.0,0.0
7857,89.0,477.0,19.0,85.0,0.0,973.0,902.5,0.0
7858,90.0,478.0,18.0,85.0,0.0,970.0,903.5,0.0
7859,90.0,477.0,18.0,85.0,0.0,964.0,881.5,0.0
7860,90.0,477.0,18.0,85.0,0.0,955.0,840.5,0.0
7861,90.0,477.0,18.0,86.0,0.0,960.0,823.0,0.0
7862,90.0,476.0,25.0,86.0,0.0,1008.0,844.5,0.0
7863,90.0,477.0,101.0,86.0,0.0,1013.0,773.0,0.0
7864,91.0,477.0,100.0,86.0,0.0,996.0,810.5,0.0
7865,91.0,477.0,1.0,87.0,0.0,962.0,852.0,0.0
7866,91.0,477.0,0.0,87.0,0.0,931.0,800.5,0.0
7867,87.0,477.0,0.0,87.0,0.0,886.0,805.0,0.0
7868,85.0,477.0,0.0,88.0,0.0,830.0,792.5,0.0
7869,84.0,477.0,0.0,87.0,0.0,758.0,607.5,0.0
7870,84.0,477.0,0.0,87.0,0.0,696.0,502.0,0.0
7871,84.0,478.0,0.0,87.0,0.0,659.0,518.0,0.0
7872,84.0,477.0,0.0,87.0,0.0,642.0,486.0,0.0
7873,84.0,478.0,0.0,87.0,0.0,631.0,465.0,0.0
7874,84.0,477.0,0.0,86.0,0.0,632.0,493.0,0.0
7875,85.0,477.0,0.0,86.0,0.0,646.0,491.5,0.0
7876,85.0,477.0,0.0,86.0,0.0,681.0,512.0,0.0
7877,85.0,477.0,0.0,86.0,0.0,731.0,452.0,0.0
7878,85.0,478.0,0.0,85.0,3.0,774.0,377.5,0.0
7879,84.0,478.0,0.0,85.0,4.0,848.0,681.0,0.0
7880,84.0,477.0,0.0,85.0,2.0,890.0,738.0,0.0
7881,83.0,477.0,0.0,84.0,0.0,899.0,715.5,0.0
7882,83.0,477.0,0.0,85.0,0.0,894.0,748.5,0.0
7883,83.0,479.0,0.0,85.0,0.0,889.0,704.0,0.0
7884,83.0,477.0,0.0,85.0,0.0,886.0,691.0,0.0
7885,87.0,478.0,0.0,86.0,0.0,894.0,732.5,0.0
7886,90.0,476.0,6.0,86.0,1.0,952.0,731.5,0.0
7887,90.0,476.0,84.0,86.0,3.0,985.0,691.0,0.0
7888,90.0,476.0,92.0,86.0,1.0,979.0,673.5,0.0
7889,91.0,476.0,88.0,86.0,1.0,960.0,671.5,0.0
7890,92.0,476.0,0.0,88.0,0.0,945.0,647.0,0.0
7891,88.0,476.0,0.0,87.0,0.0,906.0,640.5,0.0
7892,87.0,477.0,0.0,87.0,0.0,827.0,398.5,0.0
7893,86.0,476.0,0.0,87.0,0.0,753.0,464.5,0.0
7894,85.0,477.0,27.0,87.0,0.0,718.0,434.5,0.0
7895,84.0,477.0,7.0,87.0,0.0,725.0,478.5,0.0
7896,84.0,477.0,0.0,87.0,1.0,748.0,595.0,0.0
7897,84.0,477.0,0.0,87.0,1.0,706.0,549.0,0.0
7898,84.0,477.0,0.0,87.0,1.0,662.0,488.0,0.0
7899,86.0,476.0,0.0,87.0,0.0,713.0,553.5,0.0
7900,86.0,478.0,25.0,86.0,0.0,842.0,515.0,0.0
7901,86.0,478.0,9.0,86.0,0.0,995.0,549.0,0.0
