,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_onshore,FR -> ES,PT -> ES,demand,ES -> FR,ES -> PT,mismatch
3742,358.0,5697.0,4036.0,3941.0,406.0,4057.0,604.0,106.0,53.0,3137.0,1799.54,475.9,25373.0,0.0,0.0,-702.5600000000013
3743,355.0,5738.0,3908.0,3904.0,406.0,4055.0,606.0,108.0,52.0,3080.0,1767.39,403.09,24057.0,0.0,0.0,325.47999999999956
3744,352.0,5635.0,4009.0,3712.0,422.0,4056.0,604.0,105.0,66.0,2767.0,1795.11,417.17,23202.0,0.0,0.0,738.2799999999988
3745,354.0,5668.0,3999.0,3617.0,428.0,4057.0,602.0,107.0,68.0,2465.0,1788.22,608.3,22765.0,0.0,0.0,996.5200000000004
3746,354.0,5579.0,3974.0,3732.0,435.0,4057.0,593.0,109.0,60.0,2397.0,1778.37,756.37,22804.0,0.0,0.0,1020.739999999998
3747,353.0,5817.0,3882.0,3651.0,420.0,4057.0,603.0,109.0,52.0,2290.0,1794.51,1574.67,23072.0,0.0,0.0,1531.1800000000003
3748,351.0,6456.0,3905.0,4084.0,411.0,4057.0,578.0,110.0,59.0,1900.0,2328.72,2191.77,24673.0,0.0,0.0,1758.489999999998
3749,339.0,6933.0,4043.0,4672.0,404.0,4057.0,580.0,109.0,106.0,1702.0,2314.3,2301.19,27252.0,0.0,0.0,308.48999999999796
3750,344.0,7698.0,4235.0,5984.0,422.0,4057.0,599.0,108.0,388.0,1546.0,1910.78,2672.76,29706.0,0.0,0.0,258.5400000000009
3751,344.0,7801.0,4248.0,6738.0,419.0,4056.0,600.0,108.0,909.0,1376.0,2251.37,2593.38,30892.0,0.0,0.0,551.75
3752,352.0,7721.0,4243.0,6600.0,408.0,4054.0,601.0,108.0,1509.0,1387.0,2263.63,2419.08,31530.0,0.0,0.0,135.70999999999913
3753,349.0,7792.0,4223.0,6430.0,405.0,4053.0,599.0,111.0,1912.0,1334.0,2279.86,1995.58,31781.0,0.0,0.0,-297.5599999999977
3754,346.0,7802.0,4332.0,6568.0,406.0,4053.0,595.0,107.0,2112.0,1705.0,2271.52,2113.8,32202.0,0.0,0.0,209.3199999999997
3755,346.0,7759.0,4260.0,5963.0,404.0,4055.0,587.0,109.0,2078.0,2092.0,2247.82,1843.72,32030.0,0.0,0.0,-285.4599999999991
3756,346.0,7634.0,4228.0,4976.0,408.0,4056.0,588.0,113.0,2226.0,2415.0,2266.38,983.34,30980.0,0.0,0.0,-740.2799999999988
3757,346.0,7415.0,4306.0,4589.0,415.0,4055.0,594.0,114.0,2430.0,2641.0,2254.54,1121.78,30227.0,0.0,0.0,54.31999999999971
3758,349.0,7243.0,4207.0,4176.0,406.0,4054.0,614.0,115.0,2396.0,2869.0,2244.05,1441.11,29948.0,0.0,0.0,166.15999999999985
