,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,CZ -> SK,HU -> SK,PL -> SK,demand,SK -> CZ,SK -> HU,SK -> PL,mismatch
134,26.8,164.4,53.4,848.57,187.2,1879.7,463.7,38.8,21.8,316.98,0.0,446.9,3309.35,0.0,912.81,0.0,226.09000000000015
135,29.4,172.6,58.9,935.56,187.8,1888.9,474.9,37.9,4.1,549.33,0.0,292.4,3463.94,0.0,955.94,0.0,211.90999999999985
136,29.1,177.6,61.3,1026.57,190.4,1891.8,480.5,38.8,0.0,524.53,0.0,363.7,3471.3,0.0,1091.24,0.0,221.76
137,29.9,176.8,61.3,1128.08,192.1,1893.3,481.2,39.5,0.0,236.3,0.0,231.2,3446.69,0.0,797.32,0.0,225.66999999999928
138,29.8,175.0,58.7,1130.9,181.2,1890.9,477.7,39.9,0.0,513.63,0.0,298.2,3389.6,0.0,962.94,0.0,443.3900000000003
139,29.5,172.3,58.3,955.73,180.9,1888.6,476.6,40.0,0.0,554.18,0.0,211.2,3347.59,0.0,862.51,0.0,357.20999999999935
140,29.6,169.9,56.5,838.1,179.1,1885.4,471.9,39.0,0.0,442.58,0.0,136.1,3236.36,0.0,798.9,0.0,212.9200000000002
141,29.7,177.3,60.6,800.52,181.1,1891.2,478.9,37.0,0.0,493.95,0.0,229.7,3104.13,0.0,1000.24,0.0,275.60000000000014
142,29.8,176.3,57.2,793.56,179.8,1889.9,473.6,38.3,0.0,383.25,0.0,239.2,2981.97,0.0,992.11,0.0,286.83000000000004
143,29.8,187.6,60.4,803.0,182.8,1894.0,481.0,39.0,0.0,566.28,0.0,332.4,2867.5,0.0,1175.61,0.0,533.1699999999998
144,29.9,176.4,56.2,766.82,189.3,1889.7,471.3,39.9,0.0,561.43,0.0,358.8,2735.2,0.0,1131.72,0.0,672.8300000000002
145,29.9,169.2,54.0,764.32,187.9,1885.5,466.7,38.7,0.0,332.1,0.0,333.6,2712.42,0.0,967.47,0.0,582.03
146,22.7,178.5,58.4,764.23,191.0,1893.8,477.3,39.4,0.0,201.35,0.0,293.2,2725.6,0.0,844.06,0.0,550.2200000000003
147,21.7,179.2,59.0,767.17,191.5,1893.0,481.1,38.7,0.0,177.63,0.0,288.0,2738.17,0.0,805.7,0.0,553.129999999999
148,22.2,181.6,59.4,763.23,192.7,1893.6,483.4,38.3,0.0,369.43,0.0,350.5,2769.6,0.0,957.86,0.0,626.9000000000007
149,20.6,180.1,59.0,762.97,192.9,1894.6,485.4,39.2,0.0,420.3,0.0,358.1,2877.09,0.0,920.73,0.0,615.3499999999999
150,20.6,177.1,60.7,758.15,192.7,1892.0,484.2,39.1,0.0,520.38,0.0,401.2,2972.02,0.0,1137.73,0.0,436.3799999999992
151,20.6,181.3,62.8,814.6,193.2,1894.9,486.3,39.3,0.2,862.28,0.0,415.5,3145.8,0.0,1299.37,0.0,525.8100000000004
152,20.8,170.0,57.2,869.4533,189.3,1886.6,477.1,39.0,3.1,1028.68,0.0,443.4,3384.08,0.0,1300.97,0.0,499.58329999999955
153,20.6,171.6,58.8,838.6167,190.4,1890.3,480.0,38.2,14.1,1040.13,0.0,378.5,3483.21,0.0,1241.73,0.0,396.30669999999964
154,21.1,175.6,60.9,818.03,190.7,1892.2,479.9,39.1,25.9,1150.63,0.0,395.8,3591.76,0.0,1285.67,0.0,372.4299999999994
155,21.3,180.4,62.3,819.865,192.0,1897.4,479.2,40.2,38.0,1144.78,0.0,390.9,3486.17,0.0,1369.44,0.0,410.7349999999992
156,21.5,183.4,62.7,845.27,192.6,1894.0,485.4,40.9,53.3,911.9,0.0,318.3,3395.98,0.0,1186.85,0.0,426.4400000000005
157,21.2,177.1,61.0,837.23,191.6,1891.5,486.1,40.7,44.0,761.85,0.0,289.6,3316.01,0.0,1083.79,0.0,402.0799999999999
158,21.6,174.1,59.3,837.68,190.6,1889.3,484.8,40.5,22.1,799.8,0.0,286.8,3306.16,0.0,1093.95,0.0,406.47
159,21.2,172.8,59.2,845.82,190.4,1888.7,485.7,40.6,3.7,1069.05,0.0,346.5,3488.41,0.0,1269.1,0.0,366.1599999999994
