,biomass,gas,hydro,oil,other_fossil,other_renewable,solar,waste,wind_onshore,demand,mismatch
5331,57.3,1.0,3.5,419.1,0.0,7.1,0.7,17.1,75.7,634.94,-53.43999999999994
5332,57.2,1.0,3.5,489.8,4.6,7.1,0.7,17.1,60.1,677.49,-36.38999999999987
5333,58.1,1.0,3.5,487.5,4.8,7.1,0.7,17.7,57.4,750.61,-112.80999999999995
5334,60.1,1.0,3.5,491.6,0.0,7.1,0.7,17.7,73.4,808.18,-153.0799999999998
5335,60.2,1.0,3.5,459.3,0.0,7.1,0.7,17.6,72.0,833.55,-212.14999999999986
5336,59.9,1.0,3.5,478.0,0.0,7.1,0.7,16.8,66.8,836.59,-202.79000000000008
5337,59.9,1.0,3.5,472.9,0.0,7.1,0.7,17.3,77.1,830.67,-191.16999999999996
5338,60.0,1.0,3.5,466.2,0.0,7.1,0.7,17.6,87.7,826.13,-182.3299999999998
5339,60.1,1.0,3.5,464.6,0.0,7.1,0.7,17.6,66.9,814.18,-192.67999999999984
5340,60.1,1.0,3.5,467.4,0.0,7.1,0.7,17.4,51.3,801.65,-193.14999999999998
5341,59.4,1.0,3.5,467.8,5.0,7.1,0.7,18.2,43.0,795.38,-189.67999999999984
5342,58.9,1.0,3.5,487.2,4.9,7.1,0.7,18.4,28.8,790.7,-180.20000000000005
5343,59.2,1.0,3.5,506.3,4.9,7.1,0.7,17.7,16.9,789.07,-171.76999999999998
5344,59.5,1.0,3.5,492.3,0.0,7.1,0.7,16.6,14.8,779.6,-184.10000000000002
5345,60.5,1.0,3.5,476.2,5.1,7.1,0.7,17.4,13.5,763.96,-178.95999999999992
5346,60.7,1.0,3.5,472.9,5.1,7.1,0.7,17.5,11.0,767.17,-187.66999999999985
5347,60.7,1.0,3.5,490.7,0.0,7.1,0.7,17.1,10.4,768.08,-176.88
5348,60.6,1.0,3.5,497.0,5.1,7.1,0.7,16.4,14.5,712.45,-106.54999999999995
5349,59.9,1.0,3.5,496.6,5.0,7.1,0.7,17.1,20.3,654.77,-43.569999999999936
5350,59.8,1.0,3.5,522.1,5.0,7.1,0.7,17.2,28.1,619.73,24.770000000000095
5351,59.1,1.0,3.5,517.7,5.0,7.1,0.7,17.4,34.2,594.98,50.72000000000014
5352,57.6,1.0,3.5,471.35,2.5,7.1,0.7,17.4,32.5,584.74,8.910000000000082
5353,56.1,1.0,3.5,425.0,0.0,7.1,0.7,17.4,30.8,580.24,-38.639999999999986
5354,58.1,1.0,3.5,398.7,0.0,7.1,0.7,17.5,25.8,568.89,-56.49000000000001
5355,59.0,1.0,3.5,403.1,4.6,7.1,0.7,17.2,35.2,569.06,-37.659999999999854
5356,60.0,1.0,3.5,433.3,4.6,7.1,0.7,17.1,44.3,605.62,-34.01999999999998
5357,61.9,1.0,3.5,395.0,5.0,7.1,0.7,17.6,71.1,667.61,-104.71000000000004
5358,62.2,1.0,3.5,388.9,0.0,7.1,0.7,17.7,92.7,732.25,-158.45000000000005
5359,62.8,1.0,3.5,404.6,5.1,7.1,0.7,16.8,107.9,770.33,-160.82999999999993
5360,62.7,1.0,3.5,412.2,0.0,7.1,0.7,17.9,117.4,781.57,-159.07000000000005
5361,62.8,1.0,3.5,404.5,5.1,7.1,0.7,18.0,138.9,784.63,-143.02999999999997
5362,62.8,1.0,3.5,399.0,5.1,7.1,0.7,18.8,146.5,784.01,-139.51
5363,62.8,1.0,3.5,397.7,5.1,7.1,0.7,18.4,123.6,781.3,-161.39999999999998
5364,62.7,1.0,3.5,400.6,0.0,7.1,0.7,19.0,160.7,773.51,-118.21000000000004
5365,62.1,1.0,3.5,406.6,5.0,7.1,0.7,19.3,188.0,765.52,-72.21999999999991
5366,62.4,1.0,3.5,549.1,0.0,7.1,0.7,18.4,160.0,772.37,29.83000000000004
5367,62.9,1.0,3.5,534.3,0.0,7.1,0.7,16.9,137.2,775.56,-11.960000000000036
