,biomass,gas,hard_coal,hydro,other_fossil,solar,wind_onshore,ES -> PT,demand,PT -> ES,mismatch
408,220.9,1366.6,1699.8,432.7,146.1,0.0,1054.0,814.9,5302.0,0.0,433.0
409,224.7,1463.8,1699.5,232.2,146.3,0.0,1049.7,620.2,5083.0,0.0,353.39999999999964
410,221.5,1502.3,1559.8,233.0,141.4,0.0,1015.7,640.22,4951.0,0.0,362.9200000000001
411,221.3,1377.7,1553.4,226.7,141.6,0.0,949.6,616.89,4940.0,0.0,147.1900000000005
412,223.2,1364.9,1629.7,231.1,140.7,0.0,854.2,629.67,5014.0,0.0,59.470000000000255
413,222.4,1944.1,1699.9,230.3,140.4,0.0,844.8,78.32,5416.0,0.0,-255.78000000000065
414,221.0,2760.9,1699.1,459.9,138.9,0.0,852.6,0.0,6084.0,649.27,-600.8700000000003
415,222.9,2996.9,1699.7,806.9,142.5,0.3,915.7,0.0,6979.0,688.5,-882.6000000000004
416,224.6,3233.9,1699.5,1102.9,145.5,62.9,789.3,0.0,7368.0,270.19,-379.59000000000054
417,223.5,3259.1,1699.2,1511.2,148.1,208.2,589.9,0.0,7394.0,260.42,-15.220000000000198
418,226.7,3321.9,1699.0,1394.4,151.3,293.6,350.1,0.0,7446.0,33.36,-42.35999999999909
419,228.4,3313.2,1699.3,1305.4,150.8,331.1,202.4,223.11,7195.0,0.0,258.7099999999991
420,229.0,3264.9,1698.0,1139.3,151.8,337.8,171.5,209.89,7023.0,0.0,179.1900000000005
421,224.8,3283.8,1699.3,985.8,144.1,336.0,178.4,177.75,7150.0,0.0,-120.04999999999927
422,219.4,3263.4,1698.1,957.4,147.7,299.7,283.8,287.43,7047.0,0.0,109.92999999999938
423,223.2,3322.7,1692.8,1044.2,145.7,239.4,392.2,0.0,6940.0,2.81,117.3899999999989
424,223.5,3320.3,1690.3,1323.2,142.3,120.8,705.2,0.0,7106.0,570.09,-150.48999999999967
425,226.9,3209.9,1696.9,1825.8,145.4,10.0,1093.6,0.0,7767.0,1088.88,-647.3800000000001
426,225.0,3086.1,1698.3,2401.7,142.2,0.0,1458.0,0.0,8007.0,1230.03,-225.7300000000007
427,223.5,3311.9,1697.9,2552.4,153.8,0.0,1657.8,0.0,7908.0,1576.76,112.5400000000011
